roll_no,study_hours,attendance,previous_marks,assignment_scores,pass_fail
STU1314,8.5,91.0,85.1,89.3,1
STU1602,6.4,91.7,89.5,85.4,1
STU1234,6.7,93.4,86.0,67.6,1
STU2261,8.2,86.6,92.0,98.9,1
STU1932,9.8,85.3,64.5,91.0,1
STU4221,3.5,54.6,53.5,51.4,0
STU2724,8.2,77.3,77.2,85.1,1
STU1112,7.5,87.0,75.8,76.1,1
STU3705,5.1,66.7,49.1,40.0,0
STU2090,7.3,88.9,76.3,91.1,1
STU3743,3.3,55.4,54.5,53.9,0
STU3029,1.4,50.0,35.0,55.9,0
STU4945,3.0,78.1,38.1,54.4,0
STU2744,8.9,89.0,70.3,89.2,1
STU1473,5.7,83.3,92.4,85.9,1
STU3097,4.5,67.4,55.8,55.5,0
STU4733,4.6,69.5,57.1,55.0,0
STU2787,7.1,89.9,81.1,85.7,1
STU4277,2.7,77.1,42.5,40.0,0
STU2374,5.6,98.8,81.5,71.6,1
STU4704,3.2,74.4,39.0,50.6,0
STU1362,9.3,79.9,75.4,92.9,1
STU1136,9.4,84.6,78.9,77.0,1
STU2135,7.2,88.2,69.3,82.3,1
STU2152,4.9,85.8,75.2,90.2,1
STU3469,1.9,71.8,57.2,40.0,0
STU2054,7.8,83.3,79.8,87.3,1
STU4317,2.9,69.3,63.7,62.1,0
STU1023,7.6,96.2,67.2,100.0,1
STU2973,8.3,90.1,87.5,80.4,1
STU3953,2.2,68.8,61.9,55.6,0
STU2653,7.7,90.7,81.0,84.6,1
STU1696,7.1,96.6,80.4,77.4,1
STU1421,10.0,94.3,93.0,77.0,1
STU4950,4.6,52.4,49.6,64.9,0
STU1461,9.9,88.5,91.5,82.3,1
STU2068,8.9,88.1,94.9,83.6,1
STU1088,7.9,87.1,82.6,74.2,1
STU1283,9.4,95.2,91.3,91.4,1
STU3999,2.4,68.3,57.3,42.9,0
STU2314,8.2,81.9,83.5,71.4,1
STU2408,9.3,88.8,91.2,89.9,1
STU4795,2.6,72.6,38.6,47.6,0
STU3113,1.3,56.6,41.4,48.1,0
STU1860,8.3,89.2,80.9,91.3,1
STU1534,6.0,82.5,75.0,93.8,1
STU4510,4.1,70.5,58.3,56.6,0
STU4784,3.6,58.5,44.6,43.5,0
STU2420,8.1,84.8,72.6,83.3,1
STU4396,4.0,56.5,43.2,44.8,0
STU4169,3.5,61.1,40.3,55.7,0
STU3801,2.3,57.5,57.8,48.4,0
STU4372,3.1,50.0,40.0,62.4,0
STU4939,1.8,56.9,54.7,44.2,0
STU3899,2.0,56.6,35.0,48.9,0
STU2645,6.2,83.1,88.1,91.6,1
STU2413,8.0,99.9,75.9,83.4,1
STU4909,4.4,56.5,39.6,59.5,0
STU3298,3.6,74.6,39.9,43.0,0
STU1943,8.3,91.8,82.7,94.1,1
STU3252,2.0,70.0,35.0,51.2,0
STU4905,4.3,60.1,35.0,40.0,0
STU2652,7.9,91.3,82.7,82.3,1
STU3216,3.5,54.3,41.5,46.9,0
STU3247,3.2,51.3,47.0,62.2,0
STU1122,6.4,92.7,80.9,86.0,1
STU1888,7.1,96.3,94.9,97.6,1
STU3835,4.0,75.2,49.0,40.0,0
STU1686,8.4,89.9,87.3,86.0,1
STU3959,4.2,64.8,53.2,44.9,0
STU1414,9.0,82.5,62.0,87.3,1
STU1790,5.5,89.1,80.6,89.8,1
STU3190,4.2,78.9,37.7,42.7,0
STU2570,6.9,93.4,74.0,80.9,1
STU2804,5.7,89.0,96.6,86.3,1
STU4850,4.0,60.3,54.1,65.1,0
STU2393,9.9,87.6,82.8,75.8,1
STU3139,1.4,70.1,37.7,40.0,0
STU1273,8.9,83.9,71.1,84.4,1
STU3592,1.4,59.0,56.3,44.7,0
STU1522,8.2,100.0,90.6,84.5,1
STU1523,6.7,90.2,86.0,82.4,1
STU4237,3.8,51.5,35.0,68.1,0
STU2913,8.3,94.1,92.1,83.5,1
STU1351,7.9,94.4,65.7,100.0,1
STU2619,7.0,95.2,85.1,75.8,1
STU2862,8.5,83.3,91.8,86.0,1
STU4107,4.0,66.2,35.0,48.3,0
STU2962,7.8,99.3,98.8,96.5,1
STU1652,8.9,97.1,87.0,82.6,1
STU3412,4.3,63.4,39.2,45.5,0
STU4443,2.1,57.6,45.5,62.3,0
STU4701,2.9,66.8,39.5,52.5,0
STU2447,6.9,87.3,71.2,90.4,1
STU2954,6.7,91.4,88.5,75.3,1
STU4735,4.7,55.8,53.2,62.6,0
STU3329,3.3,66.1,42.1,60.7,0
STU1169,7.2,86.6,89.9,83.9,1
STU4707,4.9,55.9,35.0,40.9,0
STU1963,7.7,84.8,81.0,88.5,1
STU1946,6.2,81.1,90.3,92.6,1
STU1463,6.7,90.9,88.7,83.8,1
STU4428,2.5,57.3,36.5,49.9,0
STU1329,8.2,92.2,95.6,94.7,1
STU2658,9.1,75.5,81.6,70.0,1
STU3259,2.8,58.5,35.0,58.1,0
STU3692,3.4,69.0,46.0,51.2,0
STU3304,3.4,54.3,48.2,40.0,0
STU1368,7.5,77.8,82.3,68.9,1
STU4452,3.7,55.2,46.1,53.4,0
STU4015,3.0,69.5,39.7,56.6,0
STU3834,4.2,60.0,56.0,53.8,0
STU4126,3.3,69.2,35.0,48.1,0
STU1773,8.3,86.9,87.2,69.5,1
STU2285,6.6,78.6,95.0,93.7,1
STU3537,3.9,70.8,50.6,52.0,0
STU4579,2.0,71.7,35.0,50.9,0
STU4139,2.5,57.7,49.9,52.4,0
STU1499,6.4,92.7,64.6,84.5,1
STU2235,6.5,80.3,84.5,80.6,1
STU2513,6.6,98.3,87.1,86.5,1
STU1436,7.6,85.8,87.6,82.7,1
STU2252,8.5,89.8,77.7,79.8,1
STU1366,7.0,97.2,98.8,97.5,1
STU2367,7.5,84.8,92.9,97.1,1
STU1277,7.7,92.1,77.2,91.4,1
STU3640,2.5,61.8,42.1,45.3,0
STU4768,3.3,53.7,35.0,42.9,0
STU4440,3.1,62.1,41.5,63.2,0
STU1408,7.3,93.0,78.9,87.1,1
STU2469,6.1,85.3,79.4,82.1,1
STU4364,3.4,62.8,38.1,57.7,0
STU4678,4.9,59.1,45.7,42.3,0
STU1845,7.7,89.3,91.3,100.0,1
STU2911,9.6,79.5,86.0,87.3,1
STU4312,2.2,53.4,52.3,48.4,0
STU1087,8.6,85.0,88.9,82.8,1
STU2544,7.0,81.5,80.4,94.4,1
STU3046,4.1,63.0,47.0,43.7,0
STU3072,3.9,53.1,51.5,48.3,0
STU3365,4.2,54.4,51.0,40.0,0
STU2850,8.0,79.4,77.5,82.7,1
STU1856,6.8,84.9,100.0,96.9,1
STU4957,3.6,73.1,35.0,45.9,0
STU1079,7.6,87.2,78.9,75.6,1
STU1945,9.7,89.9,96.0,72.4,1
STU1200,6.1,90.9,86.6,82.5,1
STU3064,4.3,76.3,46.8,44.0,0
STU2617,7.9,82.1,80.7,86.1,1
STU1802,6.9,100.0,81.5,78.7,1
STU3406,1.0,70.4,45.8,55.7,0
STU3391,3.6,50.0,54.8,41.1,0
STU2984,8.5,81.3,85.1,98.2,1
STU3913,3.0,50.5,58.9,75.1,0
STU1232,7.8,92.7,92.8,82.5,1
STU2407,5.8,92.1,69.7,82.4,1
STU3005,4.6,71.6,45.1,69.8,0
STU4347,3.6,59.8,44.9,48.1,0
STU3651,2.0,60.2,55.9,60.0,0
STU3248,2.8,67.1,39.7,47.9,0
STU3427,4.1,61.7,39.3,46.5,0
STU3929,2.1,53.6,35.0,40.0,0
STU2628,9.0,92.6,89.6,88.4,1
STU4818,3.2,65.4,38.7,40.0,0
STU2144,7.7,84.4,78.7,73.2,1
STU4560,2.8,53.1,49.0,48.8,0
STU1192,8.5,90.8,84.1,77.5,1
STU1105,7.3,80.9,81.5,78.7,1
STU3952,1.9,70.2,35.0,50.0,0
STU4670,3.5,50.0,57.3,62.2,0
STU3669,3.6,62.5,49.0,46.5,0
STU2860,7.8,86.8,76.9,88.8,1
STU3475,3.7,64.9,47.8,43.1,0
STU3228,5.6,62.7,44.3,48.1,0
STU4429,1.0,61.3,41.7,48.8,0
STU4860,5.5,62.2,45.4,49.9,0
STU4046,1.6,68.9,57.2,49.9,0
STU3408,1.3,56.0,38.3,40.0,0
STU3006,3.8,55.8,46.4,46.0,0
STU3760,4.8,54.8,42.8,51.8,0
STU4829,3.8,55.5,46.8,65.4,0
STU2916,6.8,87.4,74.9,85.0,1
STU4902,3.6,52.1,43.2,51.1,0
STU4057,3.0,55.3,42.0,46.6,0
STU2814,8.6,88.6,75.3,82.2,1
STU4399,2.6,61.7,40.3,42.6,0
STU1995,6.3,82.3,76.7,80.6,1
STU1465,7.4,93.2,77.4,76.5,1
STU2500,8.2,85.9,94.8,83.7,1
STU4790,2.5,67.4,42.6,40.8,0
STU4942,5.2,68.3,37.8,58.5,0
STU3160,2.4,71.7,46.4,45.3,0
STU2237,9.5,94.0,70.8,83.2,1
STU3413,2.0,53.4,46.9,43.1,0
STU4523,4.2,52.2,55.2,40.0,0
STU1213,8.6,93.3,88.4,81.7,1
STU2037,6.0,85.9,99.5,74.0,1
STU4869,3.6,64.7,50.3,50.5,0
STU1901,7.9,87.7,78.9,91.6,1
STU2838,7.6,90.3,93.6,84.5,1
STU3816,3.3,59.3,40.1,57.7,0
STU1742,6.0,90.8,86.0,82.2,1
STU4706,2.3,68.0,54.2,61.1,0
STU4090,2.6,74.8,60.5,40.0,0
STU3668,2.4,69.3,42.4,67.4,0
STU2207,6.7,83.4,91.3,87.0,1
STU1510,6.5,80.1,81.4,95.0,1
STU1598,6.3,89.3,92.3,80.7,1
STU3997,4.5,64.6,44.4,59.9,0
STU1982,8.0,95.6,89.1,94.2,1
STU3795,1.9,68.8,65.0,55.3,0
STU4517,5.2,59.5,48.6,46.2,0
STU1519,7.6,86.6,84.8,66.1,1
STU2507,8.3,89.9,73.6,86.4,1
STU1768,9.6,90.7,80.0,87.0,1
STU3637,4.6,55.7,53.3,55.0,0
STU3744,4.2,58.9,42.8,55.1,0
STU1422,9.6,95.0,73.3,79.2,1
STU1124,5.8,86.4,83.7,86.5,1
STU3742,4.9,63.1,57.0,60.1,0
STU4755,2.7,57.2,44.7,49.0,0
STU2809,5.6,91.9,100.0,96.5,1
STU1820,8.8,76.4,79.8,81.2,1
STU2404,8.4,87.4,82.7,83.7,1
STU2383,10.0,89.3,74.7,82.8,1
STU1101,5.8,90.3,70.0,80.9,1
STU4514,2.9,50.8,47.7,40.0,0
STU2284,8.6,93.3,86.8,84.7,1
STU4690,3.5,72.5,51.4,45.9,0
STU4037,3.2,61.1,59.9,50.3,0
STU4491,3.4,55.5,38.4,41.2,0
STU2104,7.3,94.4,82.6,82.9,1
STU3921,5.1,75.0,35.9,48.9,0
STU4170,3.6,61.1,69.3,40.0,0
STU4187,1.3,70.0,38.3,59.6,0
STU3861,3.5,60.8,58.1,45.3,0
STU2353,8.1,90.6,83.3,81.5,1
STU2565,8.4,93.8,82.3,87.5,1
STU4307,4.1,60.0,41.1,50.6,0
STU4077,2.8,57.6,48.2,40.0,0
STU1983,6.3,92.4,84.3,83.1,1
STU1457,7.4,84.5,72.7,76.7,1
STU4612,3.9,82.8,38.5,50.0,0
STU3950,3.8,79.9,46.9,48.7,0
STU3821,3.6,54.1,56.5,40.0,0
STU1382,6.8,82.3,83.4,74.9,1
STU4724,3.2,51.6,63.5,46.4,0
STU2883,6.0,76.9,87.4,94.0,1
STU4340,3.2,66.1,41.1,48.2,0
STU2011,9.1,87.4,94.8,87.0,1
STU2593,8.0,100.0,76.0,79.7,1
STU4990,2.4,75.7,35.0,48.5,0
STU1663,7.5,91.6,77.5,91.0,1
STU3629,3.9,69.4,46.8,44.1,0
STU4652,3.9,59.6,59.0,51.5,0
STU4620,2.5,69.3,38.4,47.1,0
STU2790,9.1,95.8,82.8,92.9,1
STU3988,2.5,60.6,35.0,58.3,0
STU4122,1.6,62.4,36.6,51.2,0
STU4028,4.4,50.7,44.7,55.9,0
STU4576,2.3,64.6,43.8,54.6,0
STU1846,8.1,81.4,86.2,88.1,1
STU1543,8.1,86.7,67.4,72.7,1
STU1092,8.7,89.8,93.4,85.7,1
STU4547,3.9,63.8,36.3,48.9,0
STU4123,3.9,67.3,37.6,54.7,0
STU2197,7.5,92.3,90.2,88.2,1
STU2103,10.0,97.9,84.0,85.7,1
STU3671,4.4,68.2,44.1,53.3,0
STU2792,7.6,85.5,61.9,79.4,1
STU3250,3.9,62.0,42.9,56.3,0
STU2827,6.2,80.9,81.1,84.6,1
STU3150,2.6,58.9,36.3,51.5,0
STU4578,4.0,65.7,49.0,52.2,0
STU2776,5.9,90.8,71.6,89.2,1
STU2049,9.3,90.6,91.0,76.1,1
STU3822,4.7,61.5,39.2,59.3,0
STU2832,7.8,84.8,81.0,90.2,1
STU1899,8.9,86.3,87.4,84.7,1
STU2460,8.3,81.0,80.4,75.6,1
STU2612,5.6,88.7,96.1,59.2,1
STU1238,7.7,82.3,79.2,85.4,1
STU2502,6.8,84.2,86.3,85.9,1
STU3341,3.3,58.4,41.9,61.7,0
STU2134,8.0,97.0,85.6,85.7,1
STU3882,2.8,56.2,35.0,58.0,0
STU3719,3.8,74.0,60.5,48.0,0
STU1164,6.5,94.8,67.3,74.3,1
STU3289,2.5,57.3,42.3,48.4,0
STU2836,7.9,85.6,78.6,79.2,1
STU1253,10.0,79.3,83.7,100.0,1
STU3290,1.1,56.0,40.1,60.2,0
STU4384,2.1,50.6,52.4,41.0,0
STU3806,1.0,56.7,35.0,44.7,0
STU2539,6.1,87.7,72.1,79.8,1
STU1931,6.8,93.2,90.8,79.5,1
STU3026,3.0,73.8,48.9,62.9,0
STU2698,6.7,90.0,76.0,75.1,1
STU4908,5.8,50.0,41.6,48.4,0
STU3979,3.9,70.7,49.2,41.2,0
STU4393,3.0,66.2,48.6,56.8,0
STU3403,3.9,71.6,43.4,57.0,0
STU3227,2.7,56.7,35.0,64.4,0
STU3226,2.7,69.4,55.7,63.6,0
STU2091,7.4,77.1,67.4,81.7,1
STU4179,2.1,59.1,40.3,46.8,0
STU4827,1.3,75.4,54.2,40.9,0
STU2938,8.1,80.0,69.4,100.0,1
STU2182,9.2,91.1,78.4,82.5,1
STU2453,7.8,87.2,95.6,77.6,1
STU1594,7.9,88.3,64.6,80.6,1
STU1678,9.6,78.6,90.8,78.7,1
STU1042,7.7,85.5,88.1,93.5,1
STU2834,7.8,79.5,88.6,83.1,1
STU3390,1.8,66.6,44.2,45.0,0
STU3155,4.2,62.6,50.6,54.6,0
STU2942,7.0,95.4,88.2,87.0,1
STU1244,8.5,78.6,87.6,91.5,1
STU2125,9.5,87.2,87.5,94.4,1
STU2340,7.7,98.8,88.2,93.5,1
STU2867,8.7,89.9,76.7,91.0,1
STU4215,2.5,66.1,40.5,52.9,0
STU4168,2.1,69.7,35.0,46.0,0
STU2443,7.7,88.8,75.2,85.6,1
STU1262,7.4,90.4,79.7,90.4,1
STU4722,3.5,54.0,39.7,54.8,0
STU4255,3.4,59.6,43.3,45.1,0
STU3243,3.0,58.2,50.2,40.0,0
STU3689,5.4,71.7,54.4,59.6,0
STU3655,4.1,55.2,46.3,40.0,0
STU1835,7.5,86.5,66.7,87.7,1
STU4566,3.3,62.0,39.7,52.3,0
STU4666,4.6,56.0,40.9,57.2,0
STU4001,4.0,52.6,45.1,48.9,0
STU3803,3.7,64.3,43.2,40.0,0
STU1341,6.5,92.2,89.5,78.5,1
STU2873,7.1,81.4,84.9,100.0,1
STU1749,6.8,90.3,75.1,81.5,1
STU2892,7.5,91.5,87.7,92.4,1
STU1481,7.3,84.4,72.4,89.9,1
STU2865,9.1,85.8,77.5,81.8,1
STU3219,3.0,71.5,45.4,56.1,0
STU3616,2.1,64.4,48.9,61.8,0
STU3269,2.4,60.8,37.9,53.0,0
STU1784,8.2,81.7,74.2,83.1,1
STU4425,4.2,52.8,53.2,51.4,0
STU4301,3.7,63.8,46.3,40.0,0
STU3607,1.6,65.7,47.3,45.4,0
STU4196,1.5,68.8,35.0,45.7,0
STU4637,3.1,61.6,40.7,66.1,0
STU3494,2.6,56.5,35.0,55.2,0
STU2726,8.8,91.5,72.3,75.0,1
STU2845,7.7,97.7,87.8,96.2,1
STU3621,2.3,58.6,41.1,64.6,0
STU3811,3.4,56.3,56.4,44.3,0
STU2785,7.6,90.8,80.9,86.4,1
STU2272,8.2,82.8,100.0,86.7,1
STU4229,1.3,59.9,40.3,47.3,0
STU3003,3.0,57.2,42.4,67.9,0
STU2128,6.6,95.9,81.9,89.4,1
STU1627,6.3,96.4,76.7,87.6,1
STU1348,5.8,82.8,69.3,93.9,1
STU4503,3.4,66.7,51.1,63.3,0
STU3542,1.7,63.5,39.2,60.9,0
STU2566,7.2,88.3,87.5,73.0,1
STU3099,3.7,58.8,50.7,49.4,0
STU1980,8.4,89.2,64.2,71.3,1
STU2424,6.5,90.5,81.3,92.2,1
STU4438,3.1,72.2,51.7,64.5,0
STU4366,1.5,67.2,53.5,45.7,0
STU1912,7.8,90.2,92.6,94.4,1
STU3496,4.0,59.9,40.7,40.0,0
STU1633,7.3,89.2,85.1,82.2,1
STU2750,8.7,79.2,74.2,94.7,1
STU1446,8.3,89.6,75.9,78.7,1
STU1618,8.4,88.5,59.3,100.0,1
STU3104,1.1,56.6,53.9,46.6,0
STU2897,7.2,96.4,69.4,94.3,1
STU3171,2.6,76.2,65.2,40.0,0
STU3595,3.1,64.7,56.7,40.0,0
STU3844,2.9,66.7,43.5,53.8,0
STU3432,3.1,70.2,57.3,43.9,0
STU4390,4.1,59.8,40.0,56.2,0
STU4375,2.3,53.1,44.8,40.0,0
STU2466,8.2,80.0,81.8,79.0,1
STU2673,7.0,81.1,76.9,87.3,1
STU3114,1.8,62.7,49.0,46.1,0
STU1116,7.9,84.9,79.0,77.8,1
STU2495,9.4,91.1,85.4,77.6,1
STU1354,7.3,79.8,68.6,90.1,1
STU2233,7.4,81.6,73.6,86.7,1
STU1614,6.1,88.0,77.9,100.0,1
STU4507,3.1,70.8,52.1,52.2,0
STU4791,4.1,50.0,38.4,59.5,0
STU3345,1.0,66.9,37.6,40.3,0
STU4715,3.7,66.7,42.5,57.3,0
STU3638,2.0,52.5,51.8,47.7,0
STU4759,3.1,65.3,50.7,46.5,0
STU1058,7.1,93.2,85.6,92.2,1
STU4098,1.8,63.5,39.6,56.0,0
STU4991,4.8,57.8,35.0,40.1,0
STU3906,2.4,50.0,35.0,59.1,0
STU4912,4.3,51.5,56.3,47.6,0
STU2254,7.9,94.3,70.1,91.8,1
STU4330,3.9,58.3,48.5,56.3,0
STU3504,2.9,62.6,37.2,55.7,0
STU3334,4.0,60.8,50.4,41.4,0
STU4528,3.7,65.2,50.0,45.8,0
STU4813,3.6,59.7,47.3,45.8,0
STU2903,8.9,98.0,80.8,87.7,1
STU3260,3.5,61.7,50.7,51.0,0
STU2899,8.2,90.6,82.3,75.6,1
STU1561,7.8,81.9,73.4,82.9,1
STU1708,9.6,88.1,78.1,85.2,1
STU2648,8.7,89.3,94.5,99.3,1
STU1425,8.3,78.8,74.8,81.1,1
STU2094,7.6,90.5,95.6,93.3,1
STU2377,6.7,86.3,100.0,88.2,1
STU1648,7.4,79.6,81.7,78.4,1
STU1073,7.5,88.5,69.7,86.3,1
STU3523,2.7,50.0,37.4,52.6,0
STU2887,6.5,74.8,76.1,93.2,1
STU2727,6.9,91.0,64.3,76.0,1
STU2006,8.0,80.0,71.8,90.4,1
STU1621,6.6,92.2,78.4,68.4,1
STU4320,2.0,55.6,38.1,49.6,0
STU1288,8.2,86.5,83.5,89.9,1
STU1554,7.8,90.3,74.3,79.8,1
STU3382,3.5,69.6,64.0,47.9,0
STU2895,7.4,85.6,85.6,71.5,1
STU3145,4.4,63.8,42.2,40.0,0
STU2555,7.2,77.0,81.5,91.0,1
STU4546,3.1,72.4,54.0,47.2,0
STU3258,3.5,59.9,54.4,59.8,0
STU3548,4.5,69.2,46.3,49.9,0
STU1999,6.8,90.0,88.5,85.0,1
STU4178,2.6,69.5,60.9,54.1,0
STU2690,7.2,87.1,80.7,83.6,1
STU4274,4.3,68.3,45.7,57.3,0
STU2398,6.3,96.9,87.9,86.0,1
STU2578,8.9,84.2,83.5,84.8,1
STU2621,7.6,79.8,79.4,79.4,1
STU4654,4.9,75.4,43.2,53.1,0
STU4726,2.9,56.4,50.9,43.2,0
STU4978,2.2,50.7,47.7,50.3,0
STU3322,1.7,66.8,51.6,46.2,0
STU4590,4.1,54.3,46.6,40.0,0
STU1441,8.0,98.5,71.1,71.7,1
STU1509,7.6,79.9,87.3,76.4,1
STU2101,8.7,83.8,90.2,83.5,1
STU1590,6.5,87.6,73.4,86.9,1
STU2961,7.4,83.6,75.5,80.6,1
STU1650,8.3,93.4,80.2,86.4,1
STU2547,6.3,92.1,98.3,85.1,1
STU4640,2.9,66.9,45.9,40.7,0
STU4920,3.3,58.0,61.2,44.8,0
STU3324,5.0,59.8,41.7,47.9,0
STU4856,3.9,50.0,47.1,52.6,0
STU3535,4.6,50.0,39.4,48.2,0
STU2456,5.4,100.0,93.2,77.6,1
STU3246,1.7,57.8,68.6,52.7,0
STU1661,6.8,80.9,93.9,90.8,1
STU1631,5.5,89.8,69.6,74.0,1
STU1673,7.1,89.6,85.8,87.6,1
STU2250,5.6,76.9,85.4,74.7,1
STU2739,8.6,85.8,77.0,86.5,1
STU1483,5.6,100.0,75.2,78.8,1
STU2585,8.0,88.4,91.3,89.6,1
STU2980,8.0,81.7,85.9,73.0,1
STU4409,2.8,59.5,61.4,48.8,0
STU2939,8.8,85.9,92.0,95.5,1
STU2463,7.2,88.9,90.7,76.7,1
STU3765,3.1,74.5,46.5,64.4,0
STU3571,2.4,50.0,36.4,48.2,0
STU3380,3.5,60.8,51.2,56.8,0
STU1857,6.5,83.7,89.0,86.1,1
STU2226,7.3,82.1,73.4,77.2,1
STU2191,7.6,85.5,76.9,86.1,1
STU3766,2.7,69.5,50.0,53.5,0
STU4282,3.3,59.3,45.6,42.3,0
STU1531,8.3,90.8,83.3,89.1,1
STU3658,5.0,54.9,50.2,42.6,0
STU1050,5.4,88.9,85.1,79.0,1
STU4695,2.9,58.0,38.2,47.7,0
STU4683,4.3,77.6,39.4,55.5,0
STU1859,6.8,95.1,83.0,80.7,1
STU3923,2.0,75.5,40.8,49.7,0
STU2073,7.6,89.2,86.9,75.4,1
STU1720,7.4,88.7,82.9,91.0,1
STU1152,7.9,98.0,91.0,78.8,1
STU3167,5.1,74.2,39.5,53.5,0
STU3981,2.9,50.0,35.0,40.4,0
STU2661,9.1,85.8,81.6,94.6,1
STU2657,7.7,88.0,90.1,95.6,1
STU3178,4.9,66.4,38.0,40.0,0
STU3313,3.5,57.5,38.3,47.0,0
STU4082,5.0,75.8,42.0,49.4,0
STU3173,3.5,67.1,35.0,59.7,0
STU3956,4.4,60.8,37.0,52.2,0
STU3858,3.3,51.5,46.8,49.2,0
STU3944,3.6,59.2,55.2,40.0,0
STU4600,2.8,61.0,47.5,40.0,0
STU3729,3.7,50.0,45.4,52.9,0
STU3223,3.8,50.0,52.5,57.4,0
STU2768,7.3,95.8,81.4,72.9,1
STU2784,8.4,81.0,98.8,100.0,1
STU4012,1.8,61.0,37.0,62.4,0
STU2386,7.9,84.6,82.2,87.2,1
STU3514,3.7,50.7,51.7,46.0,0
STU2400,6.7,85.6,84.5,94.6,1
STU2196,8.0,76.7,78.6,87.1,1
STU4766,2.9,67.8,35.9,53.5,0
STU2476,8.3,80.3,95.1,97.1,1
STU3487,3.7,60.1,47.3,50.0,0
STU4496,1.9,61.5,47.1,56.4,0
STU3881,1.0,55.2,47.5,51.3,0
STU1298,7.9,96.4,83.0,77.1,1
STU3078,4.4,53.4,48.5,54.5,0
STU2265,7.7,92.0,91.5,84.0,1
STU4334,4.2,70.8,64.1,40.0,0
STU1959,8.2,94.8,81.6,100.0,1
STU2607,7.6,83.3,71.8,78.7,1
STU3708,3.7,54.8,35.0,60.9,0
STU1909,8.3,85.3,84.1,79.0,1
STU2930,9.9,89.0,85.2,74.6,1
STU2610,7.2,85.5,82.3,84.7,1
STU3928,2.9,58.0,48.0,54.8,0
STU2375,9.3,77.9,85.5,88.3,1
STU2287,5.3,86.0,72.3,92.5,1
STU4987,2.8,62.6,45.9,43.2,0
STU1350,7.2,85.6,77.5,80.0,1
STU2369,7.0,90.4,78.1,76.0,1
STU3131,2.9,64.6,60.7,55.5,0
STU1644,5.7,84.1,93.1,80.3,1
STU3866,4.6,73.8,47.3,49.0,0
STU3043,1.6,59.9,44.2,60.4,0
STU2682,7.5,85.6,79.3,79.4,1
STU1670,8.8,91.8,82.3,89.9,1
STU4623,3.4,60.7,49.8,49.1,0
STU3128,2.2,50.0,51.3,40.0,0
STU4261,1.1,57.6,49.9,44.2,0
STU3769,3.3,68.4,43.1,40.0,0
STU2819,7.2,85.6,72.0,81.9,1
STU2180,6.2,91.1,82.1,79.9,1
STU4368,4.7,75.7,35.0,42.5,0
STU4955,3.5,55.3,40.4,54.1,0
STU3209,2.0,62.1,55.4,43.3,0
STU2851,6.7,84.9,83.9,99.0,1
STU2588,7.1,82.5,60.1,90.7,1
STU4796,4.6,57.6,48.6,48.3,0
STU3255,3.3,62.4,35.0,64.9,0
STU3373,3.5,64.6,49.3,62.9,0
STU2358,8.0,75.2,74.8,83.4,1
STU1787,8.5,83.4,87.8,91.8,1
STU4587,3.6,57.2,40.1,47.5,0
STU1141,7.8,89.0,87.0,81.6,1
STU1789,7.4,85.3,65.3,77.3,1
STU1324,10.0,98.0,73.4,94.1,1
STU3690,3.4,58.0,44.3,45.6,0
STU1715,7.5,90.2,82.7,71.3,1
STU3196,4.3,66.5,49.1,48.2,0
STU4310,4.3,53.0,35.0,46.4,0
STU4688,1.5,50.0,53.7,52.3,0
STU4180,2.7,63.4,46.9,60.4,0
STU4521,4.3,72.5,41.5,50.1,0
STU2908,6.1,79.6,58.8,83.1,1
STU1619,8.1,90.7,81.9,74.9,1
STU1407,6.2,80.2,81.1,84.4,1
STU3207,3.9,74.1,51.7,40.6,0
STU3038,1.7,59.5,35.0,46.9,0
STU4083,3.0,66.3,40.9,50.3,0
STU3853,1.4,60.4,38.7,55.9,0
STU3418,3.3,63.7,46.4,59.1,0
STU1498,7.3,86.3,90.6,93.3,1
STU4915,3.9,53.2,45.7,51.6,0
STU1343,7.8,91.0,97.6,84.0,1
STU3578,2.1,58.2,44.6,52.0,0
STU4921,2.1,67.7,52.2,51.1,0
STU1783,8.0,80.8,68.5,85.4,1
STU4005,3.0,70.7,43.8,44.0,0
STU2324,8.1,89.5,83.7,86.7,1
STU4461,3.6,66.7,41.9,40.0,0
STU4778,3.4,61.4,40.7,49.0,0
STU1304,8.2,89.5,87.6,92.9,1
STU4371,1.5,55.9,43.2,40.0,0
STU3460,4.9,75.4,44.6,44.9,0
STU1665,6.6,90.8,87.7,80.0,1
STU2178,7.4,85.0,67.2,78.2,1
STU2245,6.7,87.0,89.8,89.9,1
STU3437,3.4,50.0,47.5,52.0,0
STU4358,4.0,67.0,39.0,47.2,0
STU4132,5.4,65.2,54.7,40.8,0
STU4565,3.7,70.6,39.5,65.4,0
STU3869,3.2,56.3,49.0,56.8,0
STU1085,6.5,84.7,92.5,84.3,1
STU4451,3.0,57.3,51.6,64.7,0
STU2801,9.8,79.7,84.4,79.2,1
STU1942,8.5,85.2,80.4,91.8,1
STU1962,9.1,84.3,73.8,86.6,1
STU1842,8.3,78.9,82.6,81.0,1
STU3603,6.0,55.2,42.1,52.6,0
STU3686,3.6,55.2,57.7,54.8,0
STU4150,3.7,69.3,41.3,46.7,0
STU1867,7.8,83.0,83.5,92.7,1
STU4719,3.9,55.2,45.0,44.8,0
STU4050,4.2,79.4,41.5,53.2,0
STU1291,7.3,98.4,86.1,83.3,1
